INFO:     Will watch for changes in these directories: ['/workspaces/Predication-Market/backend']
INFO:     Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
INFO:     Started reloader process [4777] using WatchFiles
INFO:     Started server process [4795]
INFO:     Waiting for application startup.
INFO:     Application startup complete.
✅ Kalshi API key loaded — authenticated access enabled
✅ Kalshi private key loaded — signed requests enabled
⚠️  No Polymarket private key — Polymarket client will be read-only
Kalshi WS: connecting to wss://api.elections.kalshi.com/trade-api/ws/v2 (auth)...
Poly WS: connecting to wss://ws-subscriptions-clob.polymarket.com/ws/market (200 tokens)...
Kalshi WS: connected!
Kalshi WS: subscribed -> {'type': 'subscribed', 'id': 1, 'msg': {'channel': 'trade', 'sid': 1}}
Poly WS trade #2: asset=46553455570564517989... | SELL | size=36 | price=0.007
Kalshi WS trade #114: KXNCAABMENTION-26FEB18BYUARIZ-ALL | no | count=1.00 | yes=57c
Kalshi WS trade #115: KXNCAAWBGAME-26FEB19LSUMISS-MISS | no | count=5.00 | yes=28c
Kalshi WS trade #116: KXATPMATCH-26FEB18GIRRUU-RUU | yes | count=16.00 | yes=41c
Kalshi WS trade #117: KXNCAAMBGAME-26FEB18AUBMSST-AUB | yes | count=249.00 | yes=18c
Kalshi WS trade #118: KXPSAKIMENTION-26FEB19-AFFO | yes | count=18.00 | yes=1c
Kalshi WS trade #119: KXNCAAMBGAME-26FEB18NCCUSCST-SCST | yes | count=64.00 | yes=60c
Kalshi WS trade #120: KXNCAAMBSPREAD-26FEB18ILLUSC-ILL15 | yes | count=37.00 | yes=29c
Kalshi WS trade #121: KXNCAAMBSPREAD-26FEB18ILLUSC-ILL15 | yes | count=43.00 | yes=30c
Kalshi WS trade #122: KXNCAAMBSPREAD-26FEB18ILLUSC-ILL9 | no | count=45.00 | yes=47c
Kalshi WS trade #123: KXNCAAMBGAME-26FEB18VANMIZZ-MIZZ | yes | count=19.00 | yes=50c
Kalshi WS trade #124: KXATPMATCH-26FEB18GIRRUU-RUU | yes | count=111.00 | yes=41c
Kalshi WS trade #125: KXNCAAMBGAME-26FEB18BYUARIZ-BYU | no | count=10.00 | yes=17c
Kalshi WS trade #126: KXNCAAMBGAME-26FEB18MDNW-MD | no | count=17.00 | yes=2c
Kalshi WS trade #127: KXATPCHALLENGERMATCH-26FEB18GILBAR-BAR | no | count=55.00 | yes=46c
Kalshi WS trade #128: KXNCAAWBGAME-26FEB18UNLVSDSU-SDSU | yes | count=3.00 | yes=65c
Kalshi WS trade #129: KXATPMATCH-26FEB18GIRRUU-RUU | yes | count=149.00 | yes=41c
Kalshi WS trade #130: KXGREENLANDPRICE-29JAN21-NOACQ | yes | count=888.00 | yes=77c
Kalshi WS trade #131: KXGREENLANDPRICE-29JAN21-NOACQ | yes | count=390.00 | yes=77c
Kalshi WS trade #132: KXBERNIEMENTION-26FEB19-ONE | no | count=8.00 | yes=89c
Kalshi WS trade #133: KXNCAAMBSPREAD-26FEB18ILLUSC-ILL9 | yes | count=980.00 | yes=49c
Kalshi WS trade #134: KXNCAAWBGAME-26FEB18UNMGC-GC | yes | count=4.00 | yes=35c
Kalshi WS trade #135: KXNCAAWBGAME-26FEB18UNMGC-GC | yes | count=1.00 | yes=35c
Kalshi WS trade #136: KXNCAAMBGAME-26FEB18KENNMOSU-KENN | yes | count=100.00 | yes=66c
Kalshi WS trade #137: KXNCAAMBGAME-26FEB18KENNMOSU-KENN | yes | count=100.00 | yes=66c
Kalshi WS trade #138: KXNCAAMBGAME-26FEB18KENNMOSU-KENN | yes | count=336.00 | yes=66c
Kalshi WS trade #139: KXNCAAMBGAME-26FEB18KENNMOSU-KENN | yes | count=34.00 | yes=67c
Kalshi WS trade #140: KXNCAAMBGAME-26FEB18KENNMOSU-KENN | yes | count=34.00 | yes=67c
Kalshi WS trade #141: KXNCAAMBGAME-26FEB18KENNMOSU-KENN | yes | count=34.00 | yes=67c
Kalshi WS trade #142: KXNCAAMBGAME-26FEB18KENNMOSU-KENN | yes | count=34.00 | yes=67c
Kalshi WS trade #143: KXNCAAMBGAME-26FEB18KENNMOSU-KENN | yes | count=34.00 | yes=67c
Kalshi WS trade #144: KXNCAAMBGAME-26FEB18KENNMOSU-KENN | yes | count=250.00 | yes=67c
Kalshi WS trade #145: KXBERNIEMENTION-26FEB19-SOCIA | no | count=2.00 | yes=62c
Kalshi WS trade #146: KXNCAAMBGAME-26FEB18SJUMARQ-MARQ | yes | count=13.00 | yes=21c
Kalshi WS trade #147: KXBTC15M-26FEB182200-00 | no | count=47.00 | yes=72c
Kalshi WS trade #148: KXNCAAMBGAME-26FEB18UTAHWVU-UTAH | yes | count=163.00 | yes=59c
Kalshi WS trade #149: KXNCAAMBGAME-26FEB18NCCUSCST-NCCU | yes | count=68.00 | yes=41c
Kalshi WS trade #150: KXNCAAMBGAME-26FEB18ILLUSC-USC | yes | count=43.00 | yes=20c
Kalshi WS trade #151: KXMVESPORTSMULTIGAMEEXTENDED-S20267ED6F04275B-DDBFCFDFCDC | yes | count=3084.00 | yes=3c
Kalshi WS trade #152: KXMVESPORTSMULTIGAMEEXTENDED-S2026DC4DD007FED-BDCFF6C6293 | yes | count=47.00 | yes=40c
Kalshi WS trade #153: KXATPMATCH-26FEB18GIRRUU-RUU | yes | count=12.00 | yes=40c
Kalshi WS trade #154: KXATPMATCH-26FEB18GIRRUU-RUU | yes | count=38.00 | yes=41c
Kalshi WS trade #155: KXATPMATCH-26FEB18GIRRUU-GIR | no | count=83.00 | yes=62c
Kalshi WS trade #156: KXMVESPORTSMULTIGAMEEXTENDED-S20269C8A536AA34-1B9B738E601 | yes | count=82.00 | yes=12c
Kalshi WS trade #157: KXNCAAMBGAME-26FEB18VANMIZZ-MIZZ | yes | count=38.00 | yes=50c
Kalshi WS trade #158: KXNCAAMBGAME-26FEB18VANMIZZ-MIZZ | yes | count=19.00 | yes=50c
Kalshi WS trade #159: KXNCAAMBGAME-26FEB18KUOKST-OKST | no | count=12.00 | yes=5c
Kalshi WS trade #160: KXNCAAMBGAME-26FEB18KUOKST-OKST | no | count=378.00 | yes=4c
Kalshi WS trade #161: KXNCAAMBGAME-26FEB18VANMIZZ-VAN | yes | count=1.00 | yes=51c
Kalshi WS trade #162: KXNCAAMBGAME-26FEB18VANMIZZ-VAN | yes | count=1.00 | yes=52c
Kalshi WS trade #163: KXNCAAMBTOTAL-26FEB18CHARTLSA-160 | yes | count=27.00 | yes=42c
Kalshi WS trade #164: KXNCAAMBSPREAD-26FEB18MDNW-NW8 | yes | count=20.00 | yes=69c
Kalshi WS trade #165: KXNCAAMBSPREAD-26FEB18MDNW-NW8 | yes | count=14.00 | yes=70c
Kalshi WS trade #166: KXBERNIEMENTION-26FEB19-BERN | no | count=4.00 | yes=50c
Kalshi WS trade #167: KXNCAAMBGAME-26FEB18AUBMSST-MSST | yes | count=1.00 | yes=83c
Kalshi WS trade #168: KXNCAAWBGAME-26FEB19LSUMISS-MISS | no | count=5.00 | yes=28c
Kalshi WS trade #169: KXATPMATCH-26FEB18GIRRUU-RUU | yes | count=5.00 | yes=40c
Kalshi WS trade #170: KXPSAKIMENTION-26FEB19-SHUT | yes | count=93.00 | yes=1c
Kalshi WS trade #171: KXNCAAMBTOTAL-26FEB18CHARTLSA-160 | yes | count=23.00 | yes=42c
Kalshi WS trade #172: KXNCAAMBTOTAL-26FEB18CHARTLSA-160 | yes | count=100.00 | yes=42c
Kalshi WS trade #173: KXNCAAMBTOTAL-26FEB18CHARTLSA-160 | yes | count=100.00 | yes=42c
Kalshi WS trade #174: KXNCAAMBTOTAL-26FEB18CHARTLSA-160 | yes | count=100.00 | yes=42c
Kalshi WS trade #175: KXNCAAMBTOTAL-26FEB18CHARTLSA-160 | yes | count=100.00 | yes=42c
Kalshi WS trade #176: KXNCAAMBTOTAL-26FEB18CHARTLSA-160 | yes | count=12.00 | yes=42c
Kalshi WS trade #177: KXNCAAMBGAME-26FEB18SJUMARQ-MARQ | no | count=300.00 | yes=19c
Kalshi WS trade #178: KXNCAAMBGAME-26FEB18SJUMARQ-MARQ | no | count=10.00 | yes=19c
Kalshi WS trade #179: KXNCAAMBGAME-26FEB18SJUMARQ-SJU | yes | count=100.00 | yes=81c
Kalshi WS trade #180: KXNCAAMBGAME-26FEB18SJUMARQ-SJU | yes | count=60.00 | yes=81c
Kalshi WS trade #181: KXNCAAMBGAME-26FEB18VANMIZZ-MIZZ | yes | count=193.00 | yes=50c
Kalshi WS trade #182: KXNCAAMBTOTAL-26FEB18NDSUSDST-138 | yes | count=50.00 | yes=95c
Kalshi WS trade #183: KXNCAAMBTOTAL-26FEB18NDSUSDST-138 | yes | count=630.00 | yes=96c
Kalshi WS trade #184: KXNCAAMBTOTAL-26FEB18NDSUSDST-138 | yes | count=203.00 | yes=96c
Kalshi WS trade #185: KXNCAAMBTOTAL-26FEB18NDSUSDST-138 | yes | count=203.00 | yes=96c
Kalshi WS trade #186: KXNCAAMBGAME-26FEB18UTAHWVU-UTAH | yes | count=13.00 | yes=59c
Kalshi WS trade #187: KXATPMATCH-26FEB18GIRRUU-GIR | no | count=23.00 | yes=62c
Kalshi WS trade #188: KXNCAAMBGAME-26FEB18DEPHALL-HALL | yes | count=11.00 | yes=15c
Kalshi WS trade #189: KXATPMATCH-26FEB18GIRRUU-RUU | yes | count=11.00 | yes=40c
Kalshi WS trade #190: KXNCAAMBGAME-26FEB18AUBMSST-AUB | yes | count=1.00 | yes=18c
Kalshi WS trade #191: KXNCAAMBGAME-26FEB18AUBMSST-AUB | yes | count=9.00 | yes=18c
Kalshi WS trade #192: KXBTC15M-26FEB182200-00 | yes | count=49.00 | yes=73c
Kalshi WS trade #193: KXNCAAMBGAME-26FEB18NDSUSDST-SDST | yes | count=375.00 | yes=5c
Kalshi WS trade #194: KXLPGATOUR-HONLT26-JEETHI | yes | count=1.00 | yes=32c
Kalshi WS trade #195: KXLPGATOUR-HONLT26-JEETHI | yes | count=13.00 | yes=33c
Kalshi WS trade #196: KXBTC15M-26FEB182200-00 | yes | count=64.00 | yes=73c
Kalshi WS trade #197: KXATPCHALLENGERMATCH-26FEB18GILBAR-BAR | no | count=10.00 | yes=46c
Kalshi WS trade #198: KXNCAAMBTOTAL-26FEB18BYUARIZ-155 | no | count=13.00 | yes=65c
Kalshi WS trade #199: KXNCAAMBGAME-26FEB18MDNW-NW | no | count=120.00 | yes=97c
Kalshi WS trade #200: KXNCAAMBGAME-26FEB18MDNW-NW | no | count=282.00 | yes=97c
Kalshi WS trade #201: KXNCAAMBGAME-26FEB18MDNW-NW | no | count=7.00 | yes=97c
Kalshi WS trade #202: KXNCAAMBGAME-26FEB18MDNW-NW | no | count=728.00 | yes=97c
Kalshi WS trade #203: KXNCAAMBTOTAL-26FEB18NCCUSCST-137 | no | count=3.00 | yes=46c
Kalshi WS trade #204: KXNCAAMBGAME-26FEB18KENNMOSU-MOSU | yes | count=20.00 | yes=36c
Kalshi WS trade #205: KXNCAAMBGAME-26FEB18KUOKST-OKST | yes | count=31.00 | yes=6c
Kalshi WS trade #206: KXPGATOP5-THGI26-JBRI | yes | count=46.00 | yes=6c
Kalshi WS trade #207: KXNCAAMBGAME-26FEB18PACWSU-PAC | yes | count=58.00 | yes=50c
Kalshi WS trade #208: KXNCAAMBGAME-26FEB18PACWSU-PAC | yes | count=95.00 | yes=50c
Kalshi WS trade #209: KXNCAABMENTION-26FEB18BYUARIZ-ANKL | yes | count=1.00 | yes=99c
Kalshi WS trade #210: KXNCAAMBGAME-26FEB18VANMIZZ-VAN | yes | count=19.00 | yes=51c
Kalshi WS trade #211: KXNCAAMBGAME-26FEB18DEPHALL-HALL | yes | count=8.00 | yes=15c
Kalshi WS trade #212: KXNCAAMBGAME-26FEB18DEPHALL-HALL | yes | count=33.00 | yes=15c
Kalshi WS trade #213: KXNCAAMBGAME-26FEB18PACWSU-WSU | yes | count=129.00 | yes=51c
Kalshi WS trade #214: KXNCAAMBGAME-26FEB18PACWSU-WSU | yes | count=129.00 | yes=51c
Kalshi WS trade #215: KXNCAAMBGAME-26FEB18PACWSU-WSU | yes | count=129.00 | yes=51c
Kalshi WS trade #216: KXNCAAMBGAME-26FEB18PACWSU-WSU | yes | count=129.00 | yes=51c
Kalshi WS trade #217: KXNCAAMBGAME-26FEB18PACWSU-WSU | yes | count=129.00 | yes=51c
Kalshi WS trade #218: KXNCAAMBGAME-26FEB18AUBMSST-AUB | no | count=100.00 | yes=17c
Kalshi WS trade #219: KXNCAAMBGAME-26FEB18CHARTLSA-CHAR | yes | count=42.00 | yes=11c
Kalshi WS trade #220: KXNCAAMBGAME-26FEB18PACWSU-PAC | yes | count=100.00 | yes=50c
Kalshi WS trade #221: KXNCAAMBGAME-26FEB18BSUUSU-BSU | yes | count=71.00 | yes=20c
Kalshi WS trade #222: KXAHLGAME-26FEB181905CHAROC-ROC | no | count=275.00 | yes=1c
Kalshi WS trade #223: KXNCAAWBGAME-26FEB19LSUMISS-MISS | no | count=2.00 | yes=28c
Kalshi WS trade #224: KXETH15M-26FEB182200-00 | yes | count=1.00 | yes=66c
Kalshi WS trade #225: KXETH15M-26FEB182200-00 | yes | count=2.00 | yes=66c
Kalshi WS trade #226: KXNCAAMBGAME-26FEB18VANMIZZ-VAN | yes | count=19.00 | yes=51c
Kalshi WS trade #227: KXNCAAMBGAME-26FEB18VANMIZZ-VAN | yes | count=911.00 | yes=52c
Kalshi WS trade #228: KXATPMATCH-26FEB18GIRRUU-RUU | yes | count=5.00 | yes=39c
